RT [min] (Points),Molecular Weight (Points)
21.804,436.13701
21.836,636.16957
21.958,490.11134
22.005,520.12196
22.005,588.10948
22.29,472.17352
22.323,449.13234
22.43,610.13267
22.502,494.23668
22.97,332.12343
22.97,264.13617
22.999,560.28362
23.378,302.04259
23.652,494.23668
23.778,470.23654
23.904,424.23091
24.113,340.02171
26.361,328.22485
26.57,272.06851
26.627,274.08415
26.813,272.06854
26.989,544.28887
27.106,296.10477
27.166,644.28514
27.239,330.24051
27.245,228.07866
27.247,272.06846
27.259,538.09029
27.384,300.13597
27.391,508.2099
27.473,560.22005
27.591,286.08406
27.613,652.23097
27.65,654.24684
27.682,348.19338
27.693,434.2091
27.734,722.373
27.879,284.06843
27.986,300.0997
29.476,430.22066
31.147,239.93899
31.149,1452.76433
31.156,521.22359
31.16,805.51417
31.252,776.5605
